scanned_at,name,item_type,price,timer,special_skills,key
2026-08-17T17:46:25,@ [Tikercel Loki's Nall {ll,,70,1500000,,"Thor's Edge Lv.1: Gain ATK equal to (Gear Refine Lv. x Refine Lv.), up to Lv. 15. || Spinning Fan of Knives LV.2: Rolling Cutter triggers a Knife Fan on > hit that can CRIT, dealing 1200% Neutral ranged PDMG. Cooldown: 0.5 sec. Knife Fan DMG multiplier +5.6% (Does not apply to special skills of other classes)",2,0,spinning fan of knives lv.2|thor's edge lv.1|1500000
2026-08-17T17:46:28,L Taras! Lokis Nail fll,,70,1500000,,"Thor's Edge Lv.1: Gain ATK equal to (Gear Refine Lv. x Refine Lv.), up to Lv. 15. || Spinning Fan of Knives LV.2: Rolling Cutter triggers a Knife Fan on hit that can CRIT, dealing 1200% Neutral ranged PDMG. Cooldown: 0.5 sec. Knife Fan DMG multiplier +5.6% (Does not apply to special skills of other classes)",1,1,spinning fan of knives lv.2|thor's edge lv.1|1500000
2026-08-17T17:46:31,Royal Edge III,,70,1500000,26:57,"Thor's Edge LV.1: Gain ATK equal to (Gear Refine Lv. x Refine Lv.), up to Lv. 15.(ATKO) || Fierce Assault LV.3: When casting Rapid Smiting, has a 24% || chance to cast Shield Boomerang Lv.3: on the main target, increasing based on learned skill level. Shield skill damage 412%.",1,1,chance to cast shield boomerang lv.3|fierce assault lv.3|thor's edge lv.1|1500000
2026-08-17T17:46:34,Royal Grinding Axe,,40,400000,31:52,"Thor's Edge LV.1: Gain ATK equal to (Gear Refine Lv. x Refine Lv.), up to Lv. 15. || Lacerate LV.1: Cleave inflicts Bleed when dealing damage, dealing bleeding damage equal to 15% of Cleave damage per second, non-stackable, lasting 6s. (Does not apply to special skills of other classes) > Class Limit: Reuid wanne  Alithas",1,1,lacerate lv.1|thor's edge lv.1|400000
2026-08-17T17:46:37,Royal Rag-203,,70,9500000,,"Thor's Edge Lv.1: Gain ATK equal to (Gear Refine Lv. x Refine Ly.), up to Lv. 15.(ATKO) || Concussion Grenade LV.1: Hasty Fire In The Hole now applies Stow status, reducing movement speed by 8% for 0.4s; Hasty Fire In The Hole damage multiplier increased by 5% (Does not apply to special skills of other classes)",1,1,concussion grenade lv.1|thor's edge lv.1|9500000
2026-08-17T17:46:41,Royal Rag-203,,70,10000000,,"Thor's Edge Lv.1: Gain ATK equal to (Gear Refine Lv. x Refine Lv.), up to Lv. 15. || Celestial Unity LV.1: Consuming Aim stacks increases your Rifle skill damage +9% for 5s. Consuming 10 stacks at once counts as consuming 1 additional stack for damage scaling. (Does not apply to special skills",1,1,celestial unity lv.1|thor's edge lv.1|10000000
2026-08-17T17:46:44,Royal Aqua Staff Ill,,70,1500000,,"Frigg's Chant LV.1: Gain M.ATK equal to (Gear Refine Lv. x Refine Lv.), up to Lv. 15.(M.ATKO) || Biting Frost LV.3: Water DMG multiplier +18% and Water DMG ignores 15% of target's M.DEF. (Does not apply to special skills of other classes) ——— *Class Limit: yp",0,0,biting frost lv.3|frigg's chant lv.1|1500000
2026-08-17T17:46:47,Royal Aqua Staff Ill,,70,1500000,,"Frigg's Chant LV.1: Gain M.ATK equal to (Gear Refine Lv. x Refine Lv.), up to Lv. 15.(M.ATKO) || Overflowing Mana LV.1: During Mystical Amplification, damage dealt +4%. Dealing any damage extends Mystical Amplification duration by 0.5s. (Does not apply to special skills of other classes)",1,1,frigg's chant lv.1|overflowing mana lv.1|1500000
2026-08-17T17:46:51,Royal Aqua Staff I!,,55,1000000,,"Frigg's Chant LV.1: Gain M.ATK equal to (Gear Refine Lv. x Refine Lv.), up to Lv, 15.(M.ATKO} || Weak Sense LV.1: When applying a status effect to any unit, MDMG dealt +2.4% for 6s. (Does not apply to special skills of other classes) —OO ly Class Limit: Mage, Wizard. High Wizard, Sage",1,1,frigg's chant lv.1|weak sense lv.1|1000000
2026-08-17T17:46:54,Royal Excalibur |,,40,400000,27:06,"Thor's Edge LV.1: Gain ATK equal to (Gear Refine Lv. x Refine Lv.), up to Lv. 15. || Sout Cleansing LV.1: When casting Holy Cross skilts, HIT +65 and PDMG +2.5% for 6s. (Does not apply to special skills of other classes) Class Limit: Crusader, Paladin",1,1,sout cleansing lv.1|thor's edge lv.1|400000
